index,true_class,pred_class,confidence,correct,votes
0,grayhole,injection,1.0,False,{'injection': 2.0}
1,normal,injection,1.0,False,{'injection': 2.0}
2,injection,injection,0.2727272727272727,True,"{'grayhole': 2.0, 'high': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 2.0}"
3,high_StNum,poisoned,0.3,False,"{'grayhole': 1.0, 'high': 2.0, 'injection': 2.0, 'masquerade': 1.0, 'poisoned': 3.0, 'random': 1.0}"
4,high_StNum,grayhole,0.2222222222222222,False,"{'grayhole': 2.0, 'high': 1.0, 'injection': 2.0, 'poisoned': 2.0, 'random': 2.0}"
5,random_replay,injection,1.0,False,{'injection': 2.0}
6,high_StNum,high,0.25,False,"{'grayhole': 2.0, 'high': 3.0, 'injection': 2.0, 'poisoned': 3.0, 'random': 2.0}"
7,high_StNum,injection,0.2857142857142857,False,"{'grayhole': 1.0, 'high': 1.0, 'injection': 2.0, 'poisoned': 2.0, 'random': 1.0}"
8,normal,injection,1.0,False,{'injection': 2.0}
9,grayhole,injection,1.0,False,{'injection': 2.0}
10,normal,injection,1.0,False,{'injection': 2.0}
11,injection,injection,0.3,True,"{'grayhole': 2.0, 'high': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 1.0}"
12,injection,injection,0.42857142857142855,True,"{'grayhole': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0}"
13,random_replay,injection,0.6666666666666666,False,"{'injection': 2.0, 'masquerade': 1.0}"
14,injection,grayhole,0.2857142857142857,False,"{'grayhole': 2.0, 'high': 1.0, 'injection': 2.0, 'poisoned': 1.0, 'random': 1.0}"
15,high_StNum,poisoned,0.3333333333333333,False,"{'high': 2.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 4.0, 'random': 2.0}"
16,random_replay,injection,0.6666666666666666,False,"{'injection': 2.0, 'masquerade': 1.0}"
17,random_replay,injection,1.0,False,{'injection': 2.0}
